- | STRIKE | Gravity Thump :: D (redundant with Gravity Thump)
- | STRIKE | Gravity Clobber :: D (redundant/weak against Gravity Bash)
- | STRIKE | Gravity Crash :: D (redundant with Gravity Crush-family; "Gravity Crash" reads as a mass-collisio
- | STRIKE | Gravity Swat :: D ("Gravity Swat" undersells gravity's constant-pull register; flat)
- | STRIKE | Void Clout :: D (redundant with Void Clout below; picking one — Void Clout kept, Void Wallop a
- | STRIKE | Void Clobber :: D (redundant/weak against Void Bash)
- | STRIKE | Void Swat :: D ("Void Swat" — flat, undersells void; a swat is a small dismissive flick, void
- | STRIKE | Singularity Thump :: D (redundant with Singularity Slam register)
- | STRIKE | Singularity Bash :: D (redundant/weak)
- | STRIKE | Singularity Clobber :: D (redundant/weak)
- | STRIKE | Singularity Knock :: D (redundant with Void Knock)
- | STRIKE | Singularity Rap :: D (redundant with Void Rap)
- | STRIKE | Singularity Crash :: D (redundant with Void Crash)
- | STRIKE | Singularity Ram :: D (redundant with Void Ram)
- | STRIKE | Singularity Barge :: D (redundant with Void Barge)
- | STRIKE | Singularity Tackle :: D (redundant with Void Tackle)
- | STRIKE | Mass Impact :: D (redundant)
- | STRIKE | Mass Bash :: D (redundant with Gravity Bash)
- | STRIKE | Mass Clobber :: D (weak/redundant)
- | STRIKE | Mass Knock :: D (redundant with Gravity Knock)
- | STRIKE | Mass Rap :: D (redundant with Gravity Rap)
- | STRIKE | Mass Buffet :: D (redundant with Gravity Buffet)
- | STRIKE | Mass Ram :: D (redundant with Gravity Ram)
- | STRIKE | Mass Charge :: D (redundant with Gravity Charge)
- | STRIKE | Mass Barge :: D (redundant with Gravity Barge)
- | STRIKE | Mass Tackle :: D (redundant with Gravity Tackle)
- | STRIKE | Density Impact :: D (redundant)
- | STRIKE | Density Slam :: D (redundant with Mass Slam; density is the quality, mass is the thing that hits
- | STRIKE | Density Thump :: D (redundant)
- | STRIKE | Density Bash :: D (redundant)
- | STRIKE | Density Knock :: D (redundant)
- | STRIKE | Density Rap :: D (redundant)
- | STRIKE | Density Crash :: D (redundant)
- | STRIKE | Density Buffet :: D (redundant)
- | STRIKE | Density Charge :: D (redundant)
- | STRIKE | Density Barge :: D (redundant)
- | STRIKE | Density Tackle :: D (redundant)
- | STRIKE | Dense Impact :: D (redundant with Dense Blow)
- | STRIKE | Dense Slam :: D (redundant with Mass Slam)
- | STRIKE | Dense Thump :: D (redundant)
- | STRIKE | Dense Bash :: D (redundant)
- | STRIKE | Dense Knock :: D (redundant)
- | STRIKE | Dense Rap :: D (redundant)
- | STRIKE | Dense Crash :: D (redundant)
- | STRIKE | Dense Buffet :: D (redundant)
- | STRIKE | Dense Ram :: D (redundant with Gravity Ram)
- | STRIKE | Dense Charge :: D (redundant)
- | STRIKE | Dense Barge :: D (redundant)
- | STRIKE | Dense Tackle :: D (redundant)
- | STRIKE | Superdense Blow :: D (redundant/weak, intensified Dense with no new mechanism)
- | STRIKE | Superdense Impact :: D (redundant)
- | STRIKE | Superdense Smash :: D (redundant)
- | STRIKE | Superdense Slam :: D (redundant with Mass Slam; intensifier doesn't add a new strike-mechanism)
- | STRIKE | Superdense Thump :: D (redundant)
- | STRIKE | Superdense Bash :: D (redundant)
- | STRIKE | Superdense Wallop :: D (redundant with Dense Wallop cut)
- | STRIKE | Superdense Knock :: D (redundant)
- | STRIKE | Superdense Rap :: D (redundant)
- | STRIKE | Superdense Crash :: D (redundant)
- | STRIKE | Superdense Buffet :: D (redundant)
- | STRIKE | Superdense Ram :: D (redundant)
- | STRIKE | Superdense Charge :: D (redundant)
- | STRIKE | Superdense Barge :: D (redundant)
- | STRIKE | Superdense Tackle :: D (redundant)
- | STRIKE | Ultradense Blow :: D (redundant/weak, same reasoning as Superdense)
- | STRIKE | Ultradense Impact :: D (redundant)
- | STRIKE | Ultradense Smash :: D (redundant)
- | STRIKE | Ultradense Slam :: D (redundant)
- | STRIKE | Ultradense Thump :: D (redundant)
- | STRIKE | Ultradense Bash :: D (redundant)
- | STRIKE | Ultradense Wallop :: D (redundant)
- | STRIKE | Ultradense Knock :: D (redundant)
- | STRIKE | Ultradense Rap :: D (redundant)
- | STRIKE | Ultradense Crash :: D (redundant)
- | STRIKE | Ultradense Buffet :: D (redundant)
