- | STRIKE | Tidal Blow :: D (Tidal Blow — flat, register mismatch with the plain family; not comic/gibberish, but Ti
- | STRIKE | Tidal Slam :: D (Tide Slam already covers this image under the noun form; Tidal Slam is a redundant adje
- | STRIKE | Tidal Buffet :: D (tidal doesn't sustain a beating gust the way a single wave does; redundant with Tide/Wa
- | STRIKE | Tidal Charge :: D (adjective form redundant with Current Charge, already kept in shove)
- | STRIKE | Tidal Bash :: D (redundant with Torrent Bash, already kept)
- | STRIKE | Tidal Clout :: D (redundant with Torrent Clout, already kept)
- | STRIKE | Tidal Clobber :: D (redundant with Brine Wallop; tidal doesn't add distinct meaning)
- | STRIKE | Tidal Knock :: D (redundant with Current Knock)
- | STRIKE | Tidal Rap :: D (redundant with Torrent Rap)
- | STRIKE | Tidal Crash :: D (redundant with Tidal Smash, already the crash-register entry)
- | STRIKE | Tide Bash :: D (redundant with Torrent Bash)
- | STRIKE | Tide Clout :: D (redundant with Torrent Clout)
- | STRIKE | Tide Clobber :: D (redundant with Brine Wallop)
- | STRIKE | Brine Clobber :: D (redundant/weak against Brine Wallop)
- | STRIKE | Brine Knock :: D (redundant with Current Knock)
- | STRIKE | Brine Rap :: D (redundant with Torrent Rap)
- | STRIKE | Brine Barge :: D (redundant with Current Barge)
- | STRIKE | Torrent Slam :: D (redundant, weak against Torrent Bash/Ram)
- | STRIKE | Torrent Buffet :: D (redundant with Tide/Surf Buffet)
- | STRIKE | Torrent Charge :: D (redundant with Current Charge)
- | STRIKE | Torrent Clobber :: D (redundant/weak)
- | STRIKE | Torrent Knock :: D (redundant with Current Knock)
- | STRIKE | Torrent Crash :: D (redundant with Cascade Crash)
- | STRIKE | Torrent Barge :: D (redundant with Current Barge)
- | STRIKE | Current Buffet :: D (redundant with Tide/Surf Buffet)
- | STRIKE | Current Bash :: D (weak/redundant)
- | STRIKE | Current Clobber :: D (redundant/weak)
- | STRIKE | Cascade Slam :: D (redundant with Wave Slam)
- | STRIKE | Cascade Bash :: D (weak/redundant with Torrent Bash)
- | STRIKE | Cascade Clobber :: D (redundant/weak)
- | STRIKE | Cascade Knock :: D (redundant with Current Knock)
- | STRIKE | Cascade Rap :: D (redundant with Torrent Rap)
- | STRIKE | Cascade Barge :: D (redundant with Current Barge)
- | STRIKE | Whitecap Buffet :: D (redundant with Tide/Surf Buffet)
- | STRIKE | Whitecap Clobber :: D (redundant/weak)
- | STRIKE | Whitecap Knock :: D (redundant with Current Knock)
- | STRIKE | Whitecap Rap :: D (redundant with Torrent Rap)
- | STRIKE | Surf Bash :: D (weak/redundant)
- | STRIKE | Surf Clobber :: D (redundant/weak)
- | STRIKE | Surf Knock :: D (redundant)
- | STRIKE | Surf Rap :: D (redundant)
- | STRIKE | Deluge Buffet :: D (redundant with Tide/Surf Buffet)
- | STRIKE | Deluge Bash :: D (weak/redundant)
- | STRIKE | Deluge Clobber :: D (redundant)
- | STRIKE | Deluge Knock :: D (redundant)
- | STRIKE | Deluge Rap :: D (redundant)
- | STRIKE | Deluge Crash :: D (redundant with Flood Strike register)
- | STRIKE | Flood Slam :: D (redundant with Deluge Slam)
- | STRIKE | Flood Buffet :: D (redundant)
- | STRIKE | Flood Clobber :: D (redundant)
- | STRIKE | Flood Knock :: D (redundant)
- | STRIKE | Flood Rap :: D (redundant)
- | STRIKE | Flood Crash :: D (redundant with Whitecap/Wave Crash)
- | STRIKE | Rapids Slam :: D (redundant with Wave/Torrent Slam)
- | STRIKE | Rapids Buffet :: D (redundant)
- | STRIKE | Rapids Bash :: D (weak/redundant)
- | STRIKE | Rapids Clobber :: D (redundant)
- | STRIKE | Rapids Knock :: D (redundant)
- | STRIKE | Rapids Rap :: D (redundant)
- | STRIKE | Breaker Slam :: D (redundant)
- | STRIKE | Breaker Buffet :: D (redundant)
- | STRIKE | Breaker Clobber :: D (redundant)
- | STRIKE | Breaker Knock :: D (redundant)
- | STRIKE | Breaker Rap :: D (redundant)
- | STRIKE | Breaker Crash :: D (redundant with Whitecap Crash)
- | STRIKE | Surge Buffet :: D (redundant)
- | STRIKE | Surge Clobber :: D (redundant)
- | STRIKE | Surge Knock :: D (redundant)
- | STRIKE | Surge Rap :: D (redundant)
- | STRIKE | Surge Crash :: D (redundant with Wave/Cascade Crash)
- | STRIKE | Surge Barge :: D (redundant with Current Barge)
- | STRIKE | Wave Bash :: D (weak/redundant)
- | STRIKE | Wave Clobber :: D (redundant)
- | STRIKE | Wave Knock :: D (redundant)
- | STRIKE | Wave Rap :: D (redundant)
- | STRIKE | Wave Barge :: D (redundant with Current Barge)
- | STRIKE | Cataract Smash :: D (redundant with Cataract Crash)
- | STRIKE | Cataract Slam :: D (redundant)
- | STRIKE | Cataract Buffet :: D (redundant)
- | STRIKE | Cataract Clobber :: D (redundant)
- | STRIKE | Cataract Knock :: D (redundant)
